timestamp,open,high,low,close,volume
2025-04-08 10:00:00,1568.39,1572.48,1565.93,1567.81,1332.22014
2025-04-08 10:15:00,1567.93,1571.97,1567.22,1569.62,780.372088
2025-04-08 10:30:00,1569.61,1574.37,1568.18,1569.75,1055.83996
2025-04-08 10:45:00,1569.76,1572.2,1565.34,1566,1023.313989
2025-04-08 11:00:00,1566.37,1573.68,1565.08,1568.01,1940.190015
2025-04-08 11:15:00,1568,1575.67,1565.36,1572.01,1059.809289
2025-04-08 11:30:00,1572.05,1586.21,1571.61,1582.16,2269.247399
2025-04-08 11:45:00,1582.36,1590.32,1581.22,1588.41,1905.267564
2025-04-08 12:00:00,1588.57,1593.57,1582.5,1585.2,2763.834128
2025-04-08 12:15:00,1585.12,1585.34,1574.49,1578.41,1767.836826
2025-04-08 12:30:00,1578.23,1580.83,1567.86,1569.61,1700.800372
2025-04-08 12:45:00,1569.6,1574,1567.88,1572,1350.407639
2025-04-08 13:00:00,1571.46,1580.4,1568.16,1577.21,4661.009386
2025-04-08 13:15:00,1577.45,1583.85,1573,1581.68,2088.197199
2025-04-08 13:30:00,1582,1586.5,1550.13,1567.2,9983.563478
2025-04-08 13:45:00,1567.01,1574.63,1558.09,1568.74,3066.965228
2025-04-08 14:00:00,1568.46,1583.46,1564.71,1575.07,2628.132194
2025-04-08 14:15:00,1575.02,1579.6,1557.1,1557.31,3382.980581
2025-04-08 14:30:00,1557.6,1562.56,1545.49,1547.01,4792.587518
2025-04-08 14:45:00,1547.2,1550.13,1530.61,1531.11,5763.204086
2025-04-08 15:00:00,1531.2,1539.29,1519.13,1523.2,6307.06104
2025-04-08 15:15:00,1523.21,1529.28,1517.93,1527.6,6119.572064
2025-04-08 15:30:00,1527.71,1538.63,1526.41,1535.59,2662.528013
2025-04-08 15:45:00,1535.61,1537.98,1525.64,1531.52,1749.125592
2025-04-08 16:00:00,1531.5,1533.91,1521.92,1522.1,2861.927823
2025-04-08 16:15:00,1522.2,1524.23,1512,1521.02,3231.578485
2025-04-08 16:30:00,1520.96,1524.16,1488.66,1496.4,13194.827516
2025-04-08 16:45:00,1496.3,1502.36,1481.89,1486.67,8281.103534
